Type of Question	Question	Choice 1	Choice 2	Choice 3	Choice 4	Correct Answer
ANALYZE	How does a humans intelligence compare to other animals such as bees, spiders, or chimpanzees?	A human is more intelligent because of their larger skull sizes	Each species exhibits intelligence suited to its survival needs and comparing across species is only meaningful to the context of the animal and environment.	A chimpanzee is more intelligent than the other animals	The animals are more intelligent	Each species exhibits intelligence suited to its survival needs and comparing across species is only meaningful to the context of the animal and environment.
ANALYZE	Based on the comparison of human and computer, which of the following analyzes the fundamental difference in their logic and nature.	Humans are discrete and use binary logic, while computers are continuous and use fuzzy reasoning/logic.	Computers are discrete and use binary logic, while humans are continuous and use fuzzy logic.	Both computers and human use the same logic reasoning and nature.	None of the above.	Computers are discrete and use binary logic, while humans are continuous and use fuzzy logic.
ANALYZE	What is a primary criticism of using the Turing Test to judge machine intelligence?	It requires the machine to have a physical robot body to interact with the world.	It measures imitation, not actually "thinking" or "understanding."	It cannot accurately measure numerical computing speed	It needs too much computing power	It measures imitation, not actually "thinking" or "understanding."
ANALYZE	A medical scanner possesses a vast symptom database but fails to diagnose a disease because it is restricted from using its full database during active scans. Analyzing this restriction under Allen Newell's definition, what is this system failing to approximate?	Ignorance	Perfect intelligence	Minsky’s human-equivalent standard	Heuristic-level representation	Perfect intelligence
APPLY	A lot of AI used today are simply chatbots. Which application area of AI does this best fall under?	Robotics	Vision Systems	Natural Language Processing (NLP)	Game Playing	Natural Language Processing (NLP)
APPLY	A professional dancer demonstrates excellent coordination and timing during a performance. Based on Gardner's Theory on Multiple Intelligence, which of the choices the dancer demonstrated?	Linguistic intelligence	Logical-mathematic intelligence	Spatial intelligence	Bodily-kinesthetic intelligence	Bodily-kinesthetic intelligence
APPLY	A university only accepts incoming freshman applicants who score above a certain threshold on a general IQ test, assuming this guarantees they will be the academic achievers. What’s the issue with this kind of enrollment practice?	This proves the university is using a culturally neutral enrollment method.	None. This is acceptable since IQ tests are a proven measure of a student’s performance.	IQ scores correlate with exam success, but this correlation does not extend to the students’ actual school performance.	None of the above.	IQ scores correlate with exam success, but this correlation does not extend to the students’ actual school performance.
APPLY	An engineer memorizes an engine manual but cannot repair a broken motor. Which composite intelligence component is missing?	Learn	Pose problems	Solve problems	Nurture	Solve problems
EVALUATE	Is it correct to think a person who knows a lot about art and politics is smarter than someone who knows a lot about football or pop music?	Yes because art and politics are more valuable to society	Yes because politics is more complex than football	No because there is no scientific basis for one type of knowledge to be seen as more correlated to intelligence	None of the above	No because there is no scientific basis for one type of knowledge to be seen as more correlated to intelligence
EVALUATE	Would you say that computers could also have the ability to possess emotional intelligence?	Yes, the chapter notes that some AI researchers are actively working in the area of EI, suggesting it's viewed as a real, ongoing pursuit rather than something impossible	No, the chapter states that emotional intelligence is a uniquely biological trait that cannot be replicated by machines	No, the chapter shows that AI researchers have abandoned EI research due to lack of progress	Yes, the chapter states that computers have already matched human-level emotional intelligence	Yes, the chapter notes that some AI researchers are actively working in the area of EI, suggesting it's viewed as a real, ongoing pursuit rather than something impossible
